product_id,product_name,description,price,stock_quantity,category
685e2ba4fc13ae2323fa13a5,Honey Garlic Chicken,Tender chicken coated in a sweet and savory honey garlic sauce.,8.49,59,Food 
685e2ba4fc13ae2323fa13a6,Recipe Book Stand,Stylish stand to hold your recipes while cooking.,22.99,110,Kitchen
685e2ba4fc13ae2323fa13a7,Mini Pretzels,"Crispy mini pretzels, a great snack any time of day.",2.99,205,Food 
685e2ba4fc13ae2323fa13a8,Caramel Apple Taffy,"Sweet and chewy taffy flavored like caramel apples, great for fall.",1.99,496,Food 
685e2ba4fc13ae2323fa13a9,Spicy Garlic Edamame,"Steamed edamame tossed in a spicy garlic sauce, great for snacking.",3.99,88,Food 
685e2ba4fc13ae2323fa13aa,Ginger Snaps,Spicy ginger cookies that are crunchy and delicious.,2.79,267,Food 
685e2ba4fc13ae2323fa13ab,Sliced Bell Peppers,Fresh sliced bell peppers for salads or stir-fries.,3.99,412,Food 
685e2ba4fc13ae2323fa13ac,Sliced Cheese,"Assorted sliced cheese, perfect for sandwiches.",4.49,215,Food 
685e2ba4fc13ae2323fa13ad,Classic Minestrone Soup,Hearty minestrone soup loaded with vegetables and pasta.,2.99,194,Food 
685e2ba4fc13ae2323fa13ae,Stainless Steel Travel Mug,Insulated mug to keep drinks hot on the go.,19.99,373,Kitchen
685e2ba4fc13ae2323fa13af,Fashionable Scarves Set,Stylish scarves to accessorize any outfit.,24.99,154,Clothing
685e2ba4fc13ae2323fa13b0,Hibiscus Tea Bags,Herbal tea bags made from dried hibiscus flowers.,3.79,109,Food 
685e2ba4fc13ae2323fa13b1,Electric Griddle with Removable Plates,Non-stick surface for easy cooking and cleaning.,59.99,405,Kitchen
685e2ba4fc13ae2323fa13b2,Chili Con Carne Mix,A spice blend for making flavorful chili con carne.,2.99,445,Food 
685e2ba4fc13ae2323fa13b3,Pineapple Coconut Yogurt,Creamy yogurt blended with fresh pineapple and coconut pieces.,4.49,29,Food 
685e2ba4fc13ae2323fa13b4,Linen Trousers,Breathable linen trousers perfect for hot weather.,44.99,89,Clothing 
685e2ba4fc13ae2323fa13b5,Electric Heat Press Machine,Ideal for creating custom designs on t-shirts and fabrics.,99.99,293,Crafts
685e2ba4fc13ae2323fa13b6,Smartwatch,Stylish smartwatch with fitness tracking features.,199.99,230,Wearable Tech
685e2ba4fc13ae2323fa13b7,Spicy Roasted Nuts,"A mix of nuts roasted with spicy seasonings, perfect for snacking.",4.99,83,Food 
